FIPS,countyname,state,clinton,trump,johnson,ind_cand,mcmullin,total_votes,AGI,num_returns,num_dependents,num_tot_inc,tot_inc_amt,people,turnout,fips_countyname_county,State,County,county_name,County_UA_pop,mult_counties,State_init,Statewide_UA_pop
19153,"Polk, IA",IA,119804,93492,10029,18259,2380,231555,14861647.0,221400.0,139530.0,221000.0,15067030.0,360930.0,0.641550993267,Polk County,Iowa,"Polk County, Iowa",Polk County,11000,0,IA,36000
17031,"Cook, IL",IL,1611946,453287,58678,115111,0,2180344,181576833.0,2536230.0,1756740.0,2528250.0,184188153.0,4292970.0,0.507887080506,Cook County,Illinois,"Cook County, Illinois",Cook County,325000,0,IL,519000
17089,"Kane, IL",IL,103665,82734,9292,12915,0,199314,16743224.0,242440.0,207720.0,241900.0,16960658.0,450160.0,0.442762573307,Kane County,Illinois,"Kane County, Illinois",Kane County,43000,0,IL,519000
17097,"Lake, IL",IL,171095,109767,13312,22658,0,303520,35738214.0,341720.0,263460.0,340900.0,36301711.0,605180.0,0.501536732873,Lake County,Illinois,"Lake County, Illinois",Lake County,38000,0,IL,519000
17197,"Will, IL",IL,151927,132720,11822,19579,0,304226,22880560.0,326950.0,249670.0,326270.0,23149015.0,576620.0,0.527602233707,Will County,Illinois,"Will County, Illinois",Will County,22000,0,IL,519000
18097,"Marion, IN",IN,212899,130360,18190,23620,0,366879,22465055.0,456270.0,324100.0,454530.0,22776311.0,780370.0,0.470134679703,Marion County,Indiana,"Marion County, Indiana",Marion County,34000,0,IN,94000
20091,"Johnson, KS",KS,129852,137490,15156,26866,0,294208,26811892.0,281740.0,179020.0,281100.0,27242407.0,460760.0,0.63852764997,Johnson County,Kansas,"Johnson County, Kansas",Johnson County,12000,0,KS,63000
20209,"Wyandotte, KS",KS,30146,15806,1725,3291,0,49243,2732227.0,70720.0,58510.0,70530.0,2756068.0,129230.0,0.38104929196,Wyandotte County,Kansas,"Wyandotte County, Kansas",Wyandotte County,11000,0,KS,63000
21067,"Fayette, KY",KY,69778,56894,5230,9643,2636,136315,8407524.0,141210.0,86240.0,140810.0,8546122.0,227450.0,0.599318531545,Fayette County,Kentucky,"Fayette County, Kentucky",Fayette County,12000,0,KY,45000
21111,"Jefferson, KY",KY,190836,143768,10188,18495,4785,353099,21558290.0,370770.0,216880.0,369850.0,21866744.0,587650.0,0.600866161831,Jefferson County,Kentucky,"Jefferson County, Kentucky",Jefferson County,12000,0,KY,45000
24003,"Anne Arundel, MD",MD,128419,122403,10408,19259,0,270081,22804576.0,280000.0,165000.0,279420.0,23098843.0,445000.0,0.606923595506,Anne Arundel County,Maryland,"Anne Arundel County, Maryland",Anne Arundel County,13000,0,MD,253000
24005,"Baltimore, MD",MD,218412,149477,11748,22793,0,390682,29968270.0,411330.0,245020.0,410300.0,30359044.0,656350.0,0.595234250019,Baltimore County,Maryland,"Baltimore County, Maryland",Baltimore County,27000,0,MD,253000
24027,"Howard, MD",MD,102597,47484,6282,12112,0,162193,15274620.0,150240.0,101730.0,149810.0,15493049.0,251970.0,0.643699646783,Howard County,Maryland,"Howard County, Maryland",Howard County,11000,0,MD,253000
24031,"Montgomery, MD",MD,357837,92704,11513,28332,0,478873,52389513.0,521920.0,319640.0,519950.0,53384239.0,841560.0,0.569030134512,Montgomery County,Maryland,"Montgomery County, Maryland",Montgomery County,87000,0,MD,253000
26081,"Kent, MI",MI,138683,148180,14246,24031,0,310894,18514726.0,302010.0,196190.0,301030.0,18822786.0,498200.0,0.624034524287,Kent County,Michigan,"Kent County, Michigan",Kent County,13000,0,MI,97000
26125,"Oakland, MI",MI,343070,289203,23154,36652,0,668925,53218757.0,630980.0,352960.0,628610.0,54055166.0,983940.0,0.679843283127,Oakland County,Michigan,"Oakland County, Michigan",Oakland County,15000,0,MI,97000
26163,"Wayne, MI",MI,519444,228993,18801,34282,0,782719,39022769.0,800950.0,546040.0,795980.0,39469557.0,1346990.0,0.581087461674,Wayne County,Michigan,"Wayne County, Michigan",Wayne County,25000,0,MI,97000
27053,"Hennepin, MN",MN,429288,191770,24400,58919,12270,679977,54205667.0,624350.0,342800.0,622780.0,55086395.0,967150.0,0.703072946285,Hennepin County,Minnesota,"Hennepin County, Minnesota",Hennepin County,35000,0,MN,85000
27123,"Ramsey, MN",MN,177738,70894,9626,24511,5000,273143,16358928.0,262240.0,152760.0,261540.0,16601368.0,415000.0,0.658175903614,Ramsey County,Minnesota,"Ramsey County, Minnesota",Ramsey County,16000,0,MN,85000
37063,"Durham, NC",NC,121250,28350,3999,6534,0,156134,8320574.0,139410.0,95630.0,138930.0,8461374.0,235040.0,0.664286929884,Durham County,North Carolina,"Durham County, North Carolina",Durham County,20000,0,NC,338000
37067,"Forsyth, NC",NC,94464,75975,5370,7873,0,178312,10074609.0,165300.0,110890.0,164740.0,10204872.0,276190.0,0.64561352692,Forsyth County,North Carolina,"Forsyth County, North Carolina",Forsyth County,17000,0,NC,338000
37081,"Guilford, NC",NC,149248,98062,6754,10095,0,257405,13599852.0,233600.0,153340.0,232650.0,13807732.0,386940.0,0.665232335763,Guilford County,North Carolina,"Guilford County, North Carolina",Guilford County,21000,0,NC,338000
37119,"Mecklenburg, NC",NC,294562,155518,15488,22777,0,472857,34817984.0,480950.0,327610.0,479650.0,35346817.0,808560.0,0.58481374295,Mecklenburg County,North Carolina,"Mecklenburg County, North Carolina",Mecklenburg County,54000,0,NC,338000
37183,"Wake, NC",NC,302736,196082,19460,28806,0,527624,36076952.0,466560.0,326300.0,465320.0,36650719.0,792860.0,0.665469313624,Wake County,North Carolina,"Wake County, North Carolina",Wake County,46000,0,NC,338000
31055,"Douglas, NE",NE,113798,108077,10402,18558,0,240433,19180343.0,262360.0,175870.0,261790.0,19441428.0,438230.0,0.548645688337,Douglas County,Nebraska,"Douglas County, Nebraska",Douglas County,17000,0,NE,38000
34001,"Atlantic, NJ",NJ,60924,52690,2109,4427,0,118041,6988748.0,135430.0,88450.0,135090.0,7100937.0,223880.0,0.527251206003,Atlantic County,New Jersey,"Atlantic County, New Jersey",Atlantic County,12000,0,NJ,498000
34003,"Bergen, NJ",NJ,231211,175529,7764,15473,0,422213,48536993.0,460500.0,277560.0,459230.0,49369950.0,738060.0,0.572057827277,Bergen County,New Jersey,"Bergen County, New Jersey",Bergen County,56000,0,NJ,498000
34007,"Camden, NJ",NJ,146717,72631,4245,9699,0,229047,15179568.0,244100.0,162660.0,243400.0,15415604.0,406760.0,0.563101091553,Camden County,New Jersey,"Camden County, New Jersey",Camden County,14000,0,NJ,498000
34013,"Essex, NJ",NJ,240837,63176,3111,8871,0,312884,32086861.0,365810.0,259780.0,364700.0,32577804.0,625590.0,0.500142265701,Essex County,New Jersey,"Essex County, New Jersey",Essex County,58000,0,NJ,498000
34017,"Hudson, NJ",NJ,163917,49043,2922,7582,0,220542,20903914.0,325010.0,183210.0,324030.0,21137281.0,508220.0,0.433949864232,Hudson County,New Jersey,"Hudson County, New Jersey",Hudson County,77000,0,NJ,498000
34021,"Mercer, NJ",NJ,104775,46193,3267,7090,0,158058,15802083.0,173960.0,109840.0,173480.0,16019456.0,283800.0,0.556934460888,Mercer County,New Jersey,"Mercer County, New Jersey",Mercer County,26000,0,NJ,498000
34023,"Middlesex, NJ",NJ,193044,122953,5446,12560,0,328557,29475111.0,401840.0,262770.0,400760.0,29834362.0,664610.0,0.494360602459,Middlesex County,New Jersey,"Middlesex County, New Jersey",Middlesex County,60000,0,NJ,498000
34025,"Monmouth, NJ",NJ,137181,166723,6388,13846,0,317750,30599500.0,318840.0,192290.0,318120.0,31154469.0,511130.0,0.621661808151,Monmouth County,New Jersey,"Monmouth County, New Jersey",Monmouth County,23000,0,NJ,498000
34027,"Morris, NJ",NJ,115249,126071,5943,12217,0,253537,30236910.0,252070.0,149990.0,251540.0,30763894.0,402060.0,0.630594936079,Morris County,New Jersey,"Morris County, New Jersey",Morris County,22000,0,NJ,498000
34029,"Ocean, NJ",NJ,87150,179079,4867,10496,0,276725,17193941.0,279800.0,175750.0,279020.0,17458089.0,455550.0,0.607452529909,Ocean County,New Jersey,"Ocean County, New Jersey",Ocean County,14000,0,NJ,498000
34031,"Passaic, NJ",NJ,116759,72902,2541,6567,0,196228,13822388.0,246570.0,177720.0,246030.0,14022522.0,424290.0,0.462485564119,Passaic County,New Jersey,"Passaic County, New Jersey",Passaic County,42000,0,NJ,498000
34035,"Somerset, NJ",NJ,85689,65505,3776,5898,0,157092,19967065.0,167600.0,107060.0,167230.0,20288407.0,274660.0,0.571950775504,Somerset County,New Jersey,"Somerset County, New Jersey",Somerset County,16000,0,NJ,498000
34039,"Union, NJ",NJ,147414,68114,3628,8042,0,223570,22166446.0,270510.0,182000.0,269820.0,22477344.0,452510.0,0.494066429471,Union County,New Jersey,"Union County, New Jersey",Union County,49000,0,NJ,498000
35001,"Bernalillo, NM",NM,143417,94698,29682,36547,2181,274662,16479269.0,306260.0,189140.0,304740.0,16693879.0,495400.0,0.554424707307,Bernalillo County,New Mexico,"Bernalillo County, New Mexico",Bernalillo County,24000,0,NM,68000
32003,"Clark, NV",NV,402227,320057,22453,44872,0,767156,54327489.0,957920.0,714800.0,953610.0,54970248.0,1672720.0,0.458627863599,Clark County,Nevada,"Clark County, Nevada",Clark County,106000,0,NV,129000
32031,"Washoe, NV",NV,97379,94758,9284,17772,0,209909,14866238.0,212640.0,124890.0,211740.0,15093285.0,337530.0,0.621897312831,Washoe County,Nevada,"Washoe County, Nevada",Washoe County,17000,0,NV,129000
36005,"Bronx, NY",NY,353646,37797,2312,8079,0,399522,22678141.0,644950.0,501010.0,642180.0,22890657.0,1145960.0,0.348635205417,Bronx County,New York,"Bronx County, New York",Bronx County,113000,0,NY,850000
36059,"Nassau, NY",NY,332154,292025,11337,22943,0,647122,75821183.0,708170.0,429860.0,706560.0,76986056.0,1138030.0,0.568633515812,Nassau County,New York,"Nassau County, New York",Nassau County,48000,0,NY,850000
36071,"Orange, NY",NY,68278,76645,3867,7098,0,152021,11605148.0,178310.0,127700.0,177950.0,11752150.0,306010.0,0.49678441881,Orange County,New York,"Orange County, New York",Orange County,12000,0,NY,850000
36081,"Queens, NY",NY,517220,149341,7116,19832,0,686393,53656755.0,1135060.0,684210.0,1130780.0,54300942.0,1819270.0,0.37729034173,Queens County,New York,"Queens County, New York",Queens County,232000,0,NY,850000
36087,"Rockland, NY",NY,69342,60911,2284,4834,0,135087,12170064.0,149040.0,121120.0,148760.0,12353314.0,270160.0,0.500025910572,Rockland County,New York,"Rockland County, New York",Rockland County,14000,0,NY,850000
36103,"Suffolk, NY",NY,303951,350570,13916,26733,0,681254,63645477.0,773080.0,457950.0,771450.0,64505320.0,1231030.0,0.553401623031,Suffolk County,New York,"Suffolk County, New York",Suffolk County,51000,0,NY,850000
36119,"Westchester, NY",NY,272926,131238,8042,16491,0,420655,69474004.0,483430.0,304370.0,482350.0,70560557.0,787800.0,0.533961665397,Westchester County,New York,"Westchester County, New York",Westchester County,61000,0,NY,850000
39049,"Franklin, OH",OH,351198,199331,19725,36995,0,587524,35948125.0,612920.0,369080.0,611050.0,36478729.0,982000.0,0.598293279022,Franklin County,Ohio,"Franklin County, Ohio",Franklin County,28000,0,OH,83000
39061,"Hamilton, OH",OH,215719,173665,13200,19725,0,409109,26746439.0,401250.0,237270.0,399900.0,27155132.0,638520.0,0.6407144647,Hamilton County,Ohio,"Hamilton County, Ohio",Hamilton County,10000,0,OH,83000
40109,"Oklahoma, OK",OK,112813,141569,19560,19560,0,273942,21764137.0,341380.0,233490.0,340300.0,22043526.0,574870.0,0.476528606468,Oklahoma County,Oklahoma,"Oklahoma County, Oklahoma",Oklahoma County,37000,0,OK,85000
40143,"Tulsa, OK",OK,87847,144258,14949,14949,0,247054,20583616.0,287480.0,205520.0,286670.0,20882958.0,493000.0,0.501123732252,Tulsa County,Oklahoma,"Tulsa County, Oklahoma",Tulsa County,22000,0,OK,85000
41047,"Marion, OR",OR,57788,63377,7058,15675,0,136840,7147717.0,140350.0,108090.0,139880.0,7256752.0,248440.0,0.550796973112,Marion County,Oregon,"Marion County, Oregon",Marion County,18000,0,OR,116000
41051,"Multnomah, OR",OR,292561,67954,12862,38588,0,399103,24729674.0,385290.0,190520.0,383690.0,25205415.0,575810.0,0.693115784721,Multnomah County,Oregon,"Multnomah County, Oregon",Multnomah County,27000,0,OR,116000
41067,"Washington, OR",OR,153251,83197,15266,32784,0,269232,19595589.0,265690.0,174710.0,264790.0,19895702.0,440400.0,0.611335149864,Washington County,Oregon,"Washington County, Oregon",Washington County,27000,0,OR,116000
42029,"Chester, PA",PA,141682,116114,7930,15202,0,272998,26684000.0,250820.0,158030.0,250100.0,27084748.0,408850.0,0.66772165831,Chester County,Pennsylvania,"Chester County, Pennsylvania",Chester County,14000,0,PA,137000
42091,"Montgomery, PA",PA,256082,162731,10934,19839,0,438652,41816906.0,415720.0,236180.0,414380.0,42477141.0,651900.0,0.672882343918,Montgomery County,Pennsylvania,"Montgomery County, Pennsylvania",Montgomery County,15000,0,PA,137000
42101,"Philadelphia, PA",PA,584025,108748,7115,16845,0,709618,31784811.0,671090.0,436670.0,667990.0,32184901.0,1107760.0,0.640588214054,Philadelphia County,Pennsylvania,"Philadelphia County, Pennsylvania",Philadelphia County,37000,0,PA,137000
