State,Jurisdiction,All,Yes,No,County,Facility
Georgia,Pulaski County - Pulaski County Sheriff,21,7,14,Pulaski County,Pulaski County Sheriff
Georgia,Mitchell County - Mitchell County Jus.Center,20,3,17,Mitchell County,Mitchell County Jus.Center
Georgia,Haralson County - Haralson County Sheriff,20,8,12,Haralson County,Haralson County Sheriff
Georgia,Chattahoochee County - Chattahoochee County Sherif,19,1,18,Chattahoochee County,Chattahoochee County Sherif
Georgia,Effingham County - Effingham Co. Sheriff,19,5,14,Effingham County,Effingham Co. Sheriff
Georgia,Echols County - Echols County Sheriff,19,14,5,Echols County,Echols County Sheriff
Georgia,Marion County - Marion County Sheriff,17,2,15,Marion County,Marion County Sheriff
Georgia,Early County - Early County Sheriff,17,4,13,Early County,Early County Sheriff
Georgia,Wheeler County - Wheeler County Jail,17,8,9,Wheeler County,Wheeler County Jail
Georgia,Towns County - Towns County Sheriff,17,6,11,Towns County,Towns County Sheriff
Georgia,Jefferson County - Jefferson County Sheriff,17,5,12,Jefferson County,Jefferson County Sheriff
Georgia,White County - White County Sheriff,16,10,6,White County,White County Sheriff
Georgia,Hall County - North Georgia Detention Center,16,11,5,Hall County,North Georgia Detention Center
Georgia,Telfair County - Telfair County Sheriff,16,4,12,Telfair County,Telfair County Sheriff
Georgia,Stephens County - Stephens County Det. Division,16,6,10,Stephens County,Stephens County Det. Division
Georgia,Upson County - Upson County Sheriff,15,2,13,Upson County,Upson County Sheriff
Georgia,Jasper County - Jasper County Sheriff,15,4,11,Jasper County,Jasper County Sheriff
Georgia,Jones County - Jones County Sheriff/Jail,13,5,8,Jones County,Jones County Sheriff/Jail
Georgia,Montgomery County - Montgomery County Sheriff,13,2,11,Montgomery County,Montgomery County Sheriff
Georgia,Macon County - Macon County Sheriff,10,,10,Macon County,Macon County Sheriff
Georgia,Hart County - Hart County Sheriff,10,3,7,Hart County,Hart County Sheriff
Georgia,McDuffie County - Mcduffie County Sheriff,10,5,5,McDuffie County,Mcduffie County Sheriff
Georgia,Brantley County - Brantley County Sheriff,10,4,6,Brantley County,Brantley County Sheriff
Georgia,Washington County - Washington County Sheriff,10,2,8,Washington County,Washington County Sheriff
Georgia,Charlton County - Charlton County Sheriff,9,5,4,Charlton County,Charlton County Sheriff
Georgia,Taylor County - Taylor County Sheriff,9,5,4,Taylor County,Taylor County Sheriff
Georgia,Oglethorpe County - Oglethorpe County Sheriff,8,4,4,Oglethorpe County,Oglethorpe County Sheriff
Georgia,Heard County - Heard County Sheriff,8,5,3,Heard County,Heard County Sheriff
Georgia,Randolph County - Randolph County Sheriff,7,1,6,Randolph County,Randolph County Sheriff
Georgia,Meriwether County - Meriwether County Sheriff,7,3,4,Meriwether County,Meriwether County Sheriff
Georgia,Treutlen County - Truetlen County Sheriff,6,2,4,Treutlen County,Truetlen County Sheriff
Georgia,Worth County - Worth County Sheriff,6,2,4,Worth County,Worth County Sheriff
Georgia,Lincoln County - Lincoln County Jail,6,2,4,Lincoln County,Lincoln County Jail
Georgia,Miller County - Miller County Sheriff,6,2,4,Miller County,Miller County Sheriff
Georgia,Crawford County - Crawford County Sheriff,5,2,3,Crawford County,Crawford County Sheriff
Georgia,Clinch County - Clinch County Sheriff,5,1,4,Clinch County,Clinch County Sheriff
Georgia,Wilkes County - Wilkes County Sheriff,5,1,4,Wilkes County,Wilkes County Sheriff
Georgia,Wilkinson County - Wilkinson County Jail,4,2,2,Wilkinson County,Wilkinson County Jail
Georgia,Terrell County - Terrell County Sheriff,4,2,2,Terrell County,Terrell County Sheriff
