FIPS,State,County,State_init,county_plus_init,total_detained,ICE_custody,No_ICE_custody,pct_ice,clinton,pct_clinton,trump,johnson,ind_cand,mcmullin,total_votes,turnout,people,tot_inc_amt,inc_per_person
13063,Georgia,Clayton County,GA,"Clayton County, GA",3321.0,1411.0,1910.0,0.42487202649804273,78220.0,0.8358623637529387,12645.0,1647.0,2715.0,0.0,93580.0,0.39623999661260956,236170.0,3951005.0,16.729495702248382
13065,Georgia,Clinch County,GA,"Clinch County, GA",5.0,1.0,4.0,0.2,686.0,0.2794297352342159,1727.0,34.0,42.0,0.0,2455.0,0.5103950103950103,4810.0,92231.0,19.174844074844074
13067,Georgia,Cobb County,GA,"Cobb County, GA",8254.0,5451.0,2803.0,0.6604070753574025,160121.0,0.4793209562411318,152912.0,14466.0,21025.0,0.0,334058.0,0.5647928043687761,591470.0,25686717.0,43.42860500109896
13069,Georgia,Coffee County,GA,"Coffee County, GA",190.0,78.0,112.0,0.4105263157894737,4094.0,0.29421487603305785,9588.0,233.0,233.0,0.0,13915.0,0.45893799472295516,30320.0,600937.0,19.819821899736148
13071,Georgia,Colquitt County,GA,"Colquitt County, GA",309.0,110.0,199.0,0.3559870550161812,3463.0,0.2541837933059307,9898.0,240.0,263.0,0.0,13624.0,0.40307692307692305,33800.0,646296.0,19.121183431952662
13073,Georgia,Columbia County,GA,"Columbia County, GA",158.0,64.0,94.0,0.4050632911392405,18887.0,0.28964681705951817,43085.0,2270.0,3235.0,0.0,65207.0,0.6079339921685624,107260.0,4192566.0,39.087879917956364
13075,Georgia,Cook County,GA,"Cook County, GA",96.0,21.0,75.0,0.21875,1753.0,0.2894172032359254,4176.0,112.0,128.0,0.0,6057.0,0.5085642317380352,11910.0,239988.0,20.15012594458438
13077,Georgia,Coweta County,GA,"Coweta County, GA",415.0,203.0,212.0,0.4891566265060241,16583.0,0.2665648609548304,42533.0,2235.0,3094.0,0.0,62210.0,0.5566890380313199,111750.0,3723973.0,33.32414317673378
13079,Georgia,Crawford County,GA,"Crawford County, GA",5.0,2.0,3.0,0.4,1421.0,0.2745363214837713,3635.0,106.0,120.0,0.0,5176.0,0.5976905311778291,8660.0,199063.0,22.9864896073903
13081,Georgia,Crisp County,GA,"Crisp County, GA",255.0,70.0,185.0,0.27450980392156865,2837.0,0.37766240681576146,4549.0,126.0,126.0,0.0,7512.0,0.4865284974093264,15440.0,329704.0,21.353886010362693
13085,Georgia,Dawson County,GA,"Dawson County, GA",140.0,70.0,70.0,0.5,1448.0,0.12250423011844332,9900.0,356.0,472.0,0.0,11820.0,0.7238211879975506,16330.0,556748.0,34.09357011635028
13089,Georgia,DeKalb County,GA,"DeKalb County, GA",6563.0,2823.0,3740.0,0.4301386561023922,251370.0,0.7908472261986037,51468.0,9666.0,15011.0,0.0,317849.0,0.5385536861010861,590190.0,21028421.0,35.6299174842
13087,Georgia,Decatur County,GA,"Decatur County, GA",34.0,7.0,27.0,0.20588235294117646,4124.0,0.40093330740812755,6020.0,126.0,142.0,0.0,10286.0,0.5017560975609756,20500.0,456166.0,22.252
13091,Georgia,Dodge County,GA,"Dodge County, GA",43.0,13.0,30.0,0.3023255813953488,1839.0,0.26237694392923383,5021.0,138.0,149.0,0.0,7009.0,0.5358562691131499,13080.0,258730.0,19.78058103975535
13093,Georgia,Dooly County,GA,"Dooly County, GA",94.0,27.0,67.0,0.2872340425531915,1872.0,0.4850997667789583,1951.0,36.0,36.0,0.0,3859.0,0.5152202937249666,7490.0,148871.0,19.87596795727637
13095,Georgia,Dougherty County,GA,"Dougherty County, GA",259.0,111.0,148.0,0.42857142857142855,23311.0,0.6838677501686861,10232.0,475.0,544.0,0.0,34087.0,0.4932995658465991,69100.0,1516902.0,21.952272069464545
13097,Georgia,Douglas County,GA,"Douglas County, GA",495.0,233.0,262.0,0.4707070707070707,31005.0,0.5369947001974437,24817.0,1594.0,1916.0,0.0,57738.0,0.5211010830324909,110800.0,2874448.0,25.942671480144405
13099,Georgia,Early County,GA,"Early County, GA",17.0,4.0,13.0,0.23529411764705882,2168.0,0.45308254963427375,2552.0,65.0,65.0,0.0,4785.0,0.6134615384615385,7800.0,160565.0,20.58525641025641
13101,Georgia,Echols County,GA,"Echols County, GA",19.0,14.0,5.0,0.7368421052631579,156.0,0.1319796954314721,1007.0,13.0,19.0,0.0,1182.0,0.4206405693950178,2810.0,41440.0,14.747330960854093
13103,Georgia,Effingham County,GA,"Effingham County, GA",19.0,5.0,14.0,0.2631578947368421,4853.0,0.20688038195924632,17874.0,679.0,731.0,0.0,23458.0,0.5460428305400372,42960.0,1287678.0,29.973882681564245
13105,Georgia,Elbert County,GA,"Elbert County, GA",44.0,24.0,20.0,0.5454545454545454,2539.0,0.3178915738074371,5292.0,139.0,156.0,0.0,7987.0,0.536760752688172,14880.0,308665.0,20.743615591397848
13107,Georgia,Emanuel County,GA,"Emanuel County, GA",29.0,17.0,12.0,0.5862068965517241,2435.0,0.3097964376590331,5335.0,75.0,90.0,0.0,7860.0,0.4684147794994041,16780.0,308333.0,18.37502979737783
13109,Georgia,Evans County,GA,"Evans County, GA",40.0,22.0,18.0,0.55,1130.0,0.3127594796567949,2404.0,68.0,79.0,0.0,3613.0,0.45219023779724654,7990.0,168459.0,21.083729662077598
13111,Georgia,Fannin County,GA,"Fannin County, GA",22.0,8.0,14.0,0.36363636363636365,1923.0,0.16192320646682384,9632.0,222.0,321.0,0.0,11876.0,0.783377308707124,15160.0,409742.0,27.0278364116095
